,topic,name,owner,full_name,description,language,tags,open_issues,forks,stars,watchers,description_cleaned,embeddings_lda
0,3d,three.js,mrdoob,mrdoob/three.js,JavaScript 3D Library.,JavaScript,"['javascript', 'svg', 'webgl', 'html5', 'canvas', 'augmented-reality', 'webaudio', 'virtual-reality', 'webgl2', '3d', 'webgpu', 'gitter-badge', 'badge-url', 'devdependencies-badge', 'webxr']",472,31277,80797,80797,javascript d library ,"[0.00555556 0.00555556 0.00555556 0.00555556 0.00555556 0.00555556
 0.00555556 0.00555556 0.00555556 0.00555556 0.00555556 0.00555556
 0.00555556 0.00555556 0.00555556 0.00555556 0.00555556 0.00555556
 0.00555556 0.00555556 0.00555556 0.00555556 0.00555556 0.00555556
 0.00555556 0.00555556 0.00555556 0.00555556 0.00555556 0.00555556
 0.00555556 0.00555556 0.00555556 0.00555556 0.00555556 0.00555556
 0.00555556 0.00555556 0.00555556 0.00555556 0.67222222 0.00555556
 0.00555556 0.00555556 0.00555556 0.00555556 0.00555556 0.00555556
 0.00555556 0.00555556 0.00555556 0.00555556 0.00555556 0.00555556
 0.00555556 0.00555556 0.00555556 0.00555556 0.00555556 0.00555556]"
4,3d,aframe,aframevr,aframevr/aframe,🅰️ web framework for building virtual reality experiences.,JavaScript,"['html', 'threejs', 'game-engine', 'vr', 'webvr', 'virtualreality', 'vive', 'oculus', 'rift', 'ecs', 'aframe', 'virtual-reality', 'daydream', '3d']",360,3388,14003,14003, web framework for building viual reality experiences ,"[0.00238095 0.00238095 0.00238095 0.00238095 0.00238095 0.00238095
 0.00238095 0.00238095 0.00238095 0.00238095 0.00238095 0.00238095
 0.00238095 0.00238095 0.00238095 0.00238095 0.00238095 0.00238095
 0.00238095 0.00238095 0.00238095 0.00238095 0.00238095 0.00238095
 0.00238095 0.00238095 0.00238095 0.00238095 0.00238095 0.47506423
 0.00238095 0.00238095 0.00238095 0.00238095 0.00238095 0.00238095
 0.00238095 0.00238095 0.00238095 0.00238095 0.00238095 0.00238095
 0.00238095 0.00238095 0.00238095 0.00238095 0.00238095 0.00238095
 0.00238095 0.00238095 0.00238095 0.38684053 0.00238095 0.00238095
 0.00238095 0.00238095 0.00238095 0.00238095 0.00238095 0.00238095]"
5,3d,tinyrenderer,ssloy,ssloy/tinyrenderer,A brief computer graphics / rendering course,C++,"['learning', 'c-plus-plus', 'fun', 'tutorial', 'opengl', 'cpp', 'shaders', 'picture', 'graphics', 'software-rendering', 'engine', 'rendering', 'images', 'computer-graphics', 'pixels', 'rasterizer', 'rendering-engine', 'rendering-pipeline', '3d', '3d-graphics']",28,1254,13424,13424,a brief computer graphics rendering course,"[0.00277778 0.00277778 0.00277778 0.00277778 0.00277778 0.00277778
 0.00277778 0.00277778 0.00277778 0.00277778 0.00277778 0.00277778
 0.00277778 0.00277778 0.00277778 0.00277778 0.00277778 0.00277778
 0.00277778 0.00277778 0.00277778 0.00277778 0.00277778 0.00277778
 0.00277778 0.00277778 0.00277778 0.00277778 0.00277778 0.00277778
 0.00277778 0.00277778 0.00277778 0.00277778 0.00277778 0.00277778
 0.00277778 0.00277778 0.00277778 0.00277778 0.00277778 0.00277778
 0.00277778 0.00277778 0.00277778 0.00277778 0.00277778 0.00277778
 0.00277778 0.00277778 0.00277778 0.00277778 0.00277778 0.00277778
 0.00277778 0.00277778 0.83611111 0.00277778 0.00277778 0.00277778]"
6,3d,3d-game-shaders-for-beginners,lettier,lettier/3d-game-shaders-for-beginners,"🎮 A step-by-step guide to implementing SSAO, depth of field, lighting, normal mapping, and more for your 3D game.",C++,"['gamedev', 'webgl', 'opengl', 'unity', 'shaders', 'graphics', 'vulkan', 'game-development', 'glsl', 'shader', 'unity3d', 'godot', 'graphics-programming', 'hlsl', 'panda3d', 'glsl-shader', 'indiedev', 'glsl-shaders', '3d', '3d-graphics']",14,957,12567,12567, a step by step guide to implementing ssao depth of field lighting normal mapping and more for your d game ,"[0.00151515 0.00151515 0.00151515 0.00151515 0.00151515 0.00151515
 0.00151515 0.00151515 0.00151515 0.09242424 0.00151515 0.00151515
 0.00151515 0.00151515 0.00151515 0.00151515 0.00151515 0.00151515
 0.00151515 0.00151515 0.00151515 0.00151515 0.00151515 0.00151515
 0.00151515 0.00151515 0.00151515 0.00151515 0.00151515 0.00151515
 0.00151515 0.00151515 0.00151515 0.00151515 0.00151515 0.00151515
 0.00151515 0.00151515 0.00151515 0.00151515 0.00151515 0.00151515
 0.00151515 0.00151515 0.00151515 0.00151515 0.00151515 0.00151515
 0.00151515 0.00151515 0.81969697 0.00151515 0.00151515 0.00151515
 0.00151515 0.00151515 0.00151515 0.00151515 0.00151515 0.00151515]"
7,3d,FreeCAD,FreeCAD,FreeCAD/FreeCAD,"This is the official source code of FreeCAD, a free and opensource multiplatform 3D parametric modeler. Issues are managed on our own bug tracker at https://www.freecadweb.org/tracker",C++,"['windows', 'linux', 'engineering', 'architecture', 'cad', 'mac-osx', 'fem', 'coin', 'bim', 'freecad', '3d-printing', '3d', 'opencascade']",754,2702,11073,11073,this is the official source code of freecad a free and opensource multiplatform d parametric modeler issues are managed on our own bug tracker at www freecadweb org tracker,"[0.00104167 0.00104167 0.00104167 0.00104167 0.00104167 0.00104167
 0.00104167 0.00104167 0.00104167 0.00104167 0.00104167 0.05934964
 0.00104167 0.00104167 0.13023369 0.00104167 0.00104167 0.00104167
 0.00104167 0.00104167 0.00104167 0.00104167 0.00104167 0.00104167
 0.00104167 0.00104167 0.00104167 0.12604167 0.19334192 0.00104167
 0.00104167 0.00104167 0.00104167 0.00104167 0.00104167 0.00104167
 0.30874142 0.12604167 0.00104167 0.00104167 0.00104167 0.00104167
 0.00104167 0.00104167 0.00104167 0.00104167 0.00104167 0.00104167
 0.00104167 0.00104167 0.00104167 0.00104167 0.00104167 0.00104167
 0.00104167 0.00104167 0.00104167 0.00104167 0.00104167 0.00104167]"
8,3d,zdog,metafizzy,metafizzy/zdog,"Flat, round, designer-friendly pseudo-3D engine for canvas & SVG",JavaScript,"['svg', 'canvas', '3d']",44,355,9080,9080,flat round designer friendly pseudo d engine for canvas svg,"[0.00208333 0.00208333 0.00208333 0.00208333 0.00208333 0.00208333
 0.00208333 0.12708333 0.00208333 0.25208333 0.00208333 0.00208333
 0.00208333 0.00208333 0.00208333 0.00208333 0.00208333 0.12708333
 0.00208333 0.00208333 0.00208333 0.00208333 0.00208333 0.00208333
 0.00208333 0.00208333 0.12708333 0.00208333 0.00208333 0.00208333
 0.00208333 0.00208333 0.00208333 0.00208333 0.00208333 0.00208333
 0.00208333 0.00208333 0.12708333 0.00208333 0.12708333 0.00208333
 0.00208333 0.00208333 0.00208333 0.00208333 0.00208333 0.00208333
 0.00208333 0.00208333 0.00208333 0.00208333 0.00208333 0.00208333
 0.00208333 0.00208333 0.00208333 0.00208333 0.00208333 0.00208333]"
10,3d,3D-Machine-Learning,timzhang642,timzhang642/3D-Machine-Learning,A resource repository for 3D machine learning,,"['machine-learning', 'voxel', 'point-cloud', 'primitives', 'mesh', 'neural-networks', 'papers', 'constructive-solid-geometries', '3d', '3d-reconstruction']",18,1622,7793,7793,a resource repository for d machine learning,"[0.00333333 0.00333333 0.00333333 0.00333333 0.40333333 0.00333333
 0.00333333 0.00333333 0.00333333 0.00333333 0.00333333 0.00333333
 0.00333333 0.00333333 0.00333333 0.00333333 0.00333333 0.00333333
 0.00333333 0.00333333 0.00333333 0.00333333 0.00333333 0.00333333
 0.00333333 0.00333333 0.00333333 0.00333333 0.00333333 0.00333333
 0.00333333 0.00333333 0.40333333 0.00333333 0.00333333 0.00333333
 0.00333333 0.00333333 0.00333333 0.00333333 0.00333333 0.00333333
 0.00333333 0.00333333 0.00333333 0.00333333 0.00333333 0.00333333
 0.00333333 0.00333333 0.00333333 0.00333333 0.00333333 0.00333333
 0.00333333 0.00333333 0.00333333 0.00333333 0.00333333 0.00333333]"
11,3d,SpaceshipGenerator,a1studmuffin,a1studmuffin/SpaceshipGenerator,A Blender script to procedurally generate 3D spaceships,Python,"['python', 'procedural-generation', 'blender-scripts', 'game-development', '3d', 'spaceship']",13,391,7100,7100,a blender script to procedurally generate d spaceships,"[0.00416667 0.00416667 0.00416667 0.00416667 0.00416667 0.00416667
 0.00416667 0.00416667 0.00416667 0.00416667 0.00416667 0.00416667
 0.00416667 0.25416667 0.00416667 0.00416667 0.00416667 0.00416667
 0.00416667 0.00416667 0.00416667 0.00416667 0.00416667 0.00416667
 0.00416667 0.00416667 0.00416667 0.00416667 0.00416667 0.00416667
 0.00416667 0.00416667 0.00416667 0.00416667 0.00416667 0.00416667
 0.00416667 0.00416667 0.00416667 0.00416667 0.00416667 0.00416667
 0.00416667 0.00416667 0.25416667 0.00416667 0.00416667 0.00416667
 0.00416667 0.25416667 0.00416667 0.00416667 0.00416667 0.00416667
 0.00416667 0.00416667 0.00416667 0.00416667 0.00416667 0.00416667]"
12,3d,Open3D,isl-org,isl-org/Open3D,Open3D: A Modern Library for 3D Data Processing,C++,"['visualization', 'python', 'machine-learning', 'arm', 'gui', 'opengl', 'cpp', 'tensorflow', 'gpu', 'rendering', 'computer-graphics', 'cuda', 'pytorch', 'registration', 'reconstruction', '3d', 'odometry', 'pointcloud', 'mesh-processing', '3d-perception']",431,1602,6476,6476,open d a modern library for d data processing,"[0.00277778 0.00277778 0.16944444 0.00277778 0.00277778 0.00277778
 0.00277778 0.00277778 0.00277778 0.00277778 0.00277778 0.00277778
 0.00277778 0.00277778 0.16944444 0.00277778 0.00277778 0.00277778
 0.00277778 0.00277778 0.00277778 0.00277778 0.00277778 0.00277778
 0.00277778 0.00277778 0.00277778 0.00277778 0.00277778 0.00277778
 0.00277778 0.00277778 0.00277778 0.00277778 0.00277778 0.00277778
 0.00277778 0.00277778 0.00277778 0.00277778 0.00277778 0.00277778
 0.17978636 0.00277778 0.00277778 0.00277778 0.00277778 0.00277778
 0.00277778 0.00277778 0.00277778 0.00277778 0.00277778 0.32576919
 0.00277778 0.00277778 0.00277778 0.00277778 0.00277778 0.00277778]"
13,3d,blender,blender,blender/blender,Official mirror of Blender,C,"['animation', 'rendering', 'computer-graphics', 'modeling', 'b3d', '3d']",1,930,5274,5274,official mirror of blender,"[0.00416667 0.00416667 0.00416667 0.00416667 0.00416667 0.00416667
 0.00416667 0.00416667 0.00416667 0.00416667 0.00416667 0.00416667
 0.00416667 0.00416667 0.00416667 0.00416667 0.00416667 0.00416667
 0.00416667 0.00416667 0.00416667 0.00416667 0.00416667 0.00416667
 0.00416667 0.00416667 0.00416667 0.00416667 0.00416667 0.00416667
 0.00416667 0.00416667 0.00416667 0.00416667 0.00416667 0.00416667
 0.00416667 0.25416667 0.00416667 0.00416667 0.00416667 0.00416667
 0.00416667 0.00416667 0.00416667 0.25416667 0.00416667 0.00416667
 0.00416667 0.25416667 0.00416667 0.00416667 0.00416667 0.00416667
 0.00416667 0.00416667 0.00416667 0.00416667 0.00416667 0.00416667]"
